id,hostname,thread_count,memory,resillience,performance,parallelization,consumption,country_code,cloud_type,instance_type,ts,stage,frequency,bandwidth
11,8c06a02e-1454-4123-b776-d77e4997bf8f,2,6.8,60,350,"{1,0.9538114907998497}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge-road,vagrant,2021-04-23 14:23:34.262215,prod,3000,175
12,56ea1363-a2f5-4bca-83c0-ff8f488e5100,2,6.8,61,347,"{1,0.9533483822422875}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge-road,vagrant,2021-04-23 14:46:16.756347,prod,3000,157
13,3cf8a63e-a947-4446-90d5-ef8d2ba1dbd9,2,6.8,74,347,"{1,0.9434313360625233}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge-road,vagrant,2021-04-23 15:09:57.301412,prod,3000,112
14,8d2a9ddf-29c6-41f9-b545-dde965b2105f,2,6.8,71,347,"{1,0.9530499075785582}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge-road,vagrant,2021-04-23 15:32:26.652789,prod,3000,105
15,34c7eea3-1eee-4dd3-8a5d-3bc51b37b67f,8,15,63,574,"{1,0.9502885042166,0.9304650152107778,0.9153484395040615,0.71271637816245,0.6926560983500485,0.6955815464587394,0.6417865707434053}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,premises-tecnalia204,Dell Precision 3520,2021-04-24 20:59:13.225578,prod,4000,313
16,a63d7f91-40d3-493b-bd08-8ba88632fca9,8,15,62,576,"{1,0.9733754512635379,0.9468832309043019,0.9225834046193329,0.7238255033557047,0.6884774976061283,0.6926782273603083,0.6558224384311341}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,premises-tecnalia204,Dell Precision 3520,2021-04-24 21:17:24.509879,prod,4000,579
17,436ed861-7209-446e-a65a-2203f5b0f096,8,15,64,576,"{1,0.9407572383073497,0.9267222465993857,0.9029499786233434,0.7042347449149717,0.6974900924702774,0.6767061839154117,0.630071599045346}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,premises-tecnalia204,Dell Precision 3520,2021-04-24 21:36:07.16557,prod,4000,465
18,616ed916-6cb7-4f6f-a442-2e235d96180a,8,31,62,662,"{1,0.9933119315141787,0.9954423592493299,0.9973139940907871,0.7851554239796998,0.7831681079940942,0.7426,0.7286106750392465}","{0,0.3712,0.37583999999999995,0.38048,0.38511999999999996,0.38976,0.3944,0.39903999999999995,0.40368}",IE,cloud-azure,t3.2xlarge,2021-04-22 11:35:56.218688,prod,2499,709
19,d6914708-f95a-421a-8ce6-8d3be06a85f6,8,31,74,679,"{1,0.9910834909483923,0.9926928281461433,0.9905482041587901,0.7797619047619048,0.7847667950363714,0.7366941152841936,0.7233287320055216}","{0,0.3712,0.37583999999999995,0.38048,0.38511999999999996,0.38976,0.3944,0.39903999999999995,0.40368}",IE,cloud-aws,t3.2xlarge,2021-04-22 11:36:54.146887,prod,2499,643
20,039f824d-0538-47cd-b5f0-164b87a027d9,8,31,73,669,"{1,0.9962355471901049,0.9903769045709704,0.9874733475479742,0.7839610664409649,0.7801642451042323,0.7402597402597403,0.7273262661955241}","{0,0.3712,0.37583999999999995,0.38048,0.38511999999999996,0.38976,0.3944,0.39903999999999995,0.40368}",IE,cloud-aws,t3.2xlarge,2021-04-22 11:37:10.183056,prod,2499,737
21,87abc14e-e08c-4d9b-9037-aaa4f64aa3b0,32,249,76,761,"{1,0.9954954954954955,0.998644374152734,0.9959441189725101,0.9979679385865885,0.996168582375479,0.9963931469792606,0.997067448680352,0.9959441189725101,0.9954954954954955,0.9939284911176075,0.9916984518734575,0.9896999552171968,0.9888143176733781,0.9844097995545658,0.9780924983403408,0.7429820137838292,0.7344632768361582,0.7344632768361582,0.7339754234473598,0.7339754234473598,0.7303370786516854,0.7328801193831869,0.7332448573324486,0.6723456038941285,0.6716304512991946,0.6715284108173808,0.6649616368286445,0.6534594914251922,0.6498088797412527,0.6399305052844941,0.6394675925925926}","{0,1.808,1.81365,1.8193000000000001,1.82495,1.8306,1.8362500000000002,1.8419,1.84755,1.8532,1.8588500000000001,1.8645,1.87015,1.8758000000000001,1.88145,1.8871,1.8927500000000002,1.8984,1.90405,1.9097,1.91535,1.921,1.92665,1.9323000000000001,1.93795,1.9436,1.9492500000000001,1.9549,1.96055,1.9662000000000002,1.97185,1.9775,1.9831500000000002}",US,cloud-aws,r5a.8xlarge,2021-04-27 08:00:14.62278,prod,2547,790
22,cd594022-9b23-4273-8267-9e4b606213a6,32,249,64,761,"{1,0.9984177215189873,0.9979665612291009,0.9975158084914183,0.9954924498535047,0.9961659900766802,0.9961659900766802,0.9925842696629213,0.9919155625421064,0.9919155625421064,0.9921383647798742,0.9881431767337807,0.9914702581369249,0.9901367406411119,0.9868185880250224,0.9848383500557414,0.7339647723496179,0.7332337317397079,0.7333554706956666,0.7333554706956666,0.7329903750414869,0.7328687572590011,0.7323826894379042,0.7337209302325581,0.6755888650963598,0.6726054514999239,0.6702579666160849,0.6689383613509011,0.6548554484803558,0.6492723798324269,0.6421924978191335,0.6410740203193033}","{0,1.808,1.81365,1.8193000000000001,1.82495,1.8306,1.8362500000000002,1.8419,1.84755,1.8532,1.8588500000000001,1.8645,1.87015,1.8758000000000001,1.88145,1.8871,1.8927500000000002,1.8984,1.90405,1.9097,1.91535,1.921,1.92665,1.9323000000000001,1.93795,1.9436,1.9492500000000001,1.9549,1.96055,1.9662000000000002,1.97185,1.9775,1.9831500000000002}",US,cloud-azure,r5a.8xlarge,2021-04-27 08:51:12.936829,prod,2558,710
23,3395eb05-0963-412f-9b90-63392093472c,32,249,72,761,"{1,0.9990956364458512,0.9990956364458512,0.9966170500676589,0.9957187922487606,0.9954944807389051,0.9835299354551524,0.9952702702702703,0.9806924101198401,0.9714222906133215,0.9932569116655428,0.9899193548387096,0.9930337078651685,0.9890331244404655,0.9892545332437876,0.9870448961358051,0.7335657370517927,0.7341751121448745,0.7346633416458853,0.7341751121448745,0.733931240657698,0.730896460469732,0.7336875311306658,0.733931240657698,0.6756880733944953,0.6717847370021283,0.6736280487804879,0.669849931787176,0.6533116499112951,0.6492800470173375,0.6441690962099126,0.6385838150289017}","{0,1.808,1.81365,1.8193000000000001,1.82495,1.8306,1.8362500000000002,1.8419,1.84755,1.8532,1.8588500000000001,1.8645,1.87015,1.8758000000000001,1.88145,1.8871,1.8927500000000002,1.8984,1.90405,1.9097,1.91535,1.921,1.92665,1.9323000000000001,1.93795,1.9436,1.9492500000000001,1.9549,1.96055,1.9662000000000002,1.97185,1.9775,1.9831500000000002}",US,cloud-azure,r5a.8xlarge,2021-04-27 08:52:31.675375,prod,2543,619
24,340ba1b7-4eba-4f76-beb1-70af4d54da21,4,29,72,259,"{1,0.9939410630680253,0.7570799244808056,0.6819727891156463}","{0,0.75,0.76875,0.7875,0.80625}",US,cloud-aws,g3s.xlarge,2021-04-29 14:17:42.445563,prod,3000,6355
25,b95a7f9f-d249-4c17-a4b7-4b6ff82e2628,4,29,75,255,"{1,0.9911918524635288,0.7546102263202011,0.6793057913601207}","{0,0.75,0.76875,0.7875,0.80625}",US,cloud-azure,g3s.xlarge,2021-04-30 08:57:29.234692,prod,3000,6956
